Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
3,6,Alabama,AL,1900,911933,916764,752679,1014995,54306,177,61,827307,1001152,1828697,122449,231180,370980
4,8,Arizona,AZ,1900,51136,71795,40455,77859,3328,26480,1700,1848,92903,122931,15317,10545,27817
3,7,Arkansas,AR,1900,636252,675312,543713,731333,31344,66,62,366856,944580,1311564,119827,130411,262421
4,9,California,CA,1900,664522,820531,389831,1008202,76846,15377,55904,11045,1402727,1485053,146994,162275,324690
4,8,Colorado,CO,1900,244368,295332,163147,358357,13646,1437,647,8570,529046,539700,54965,61386,122349
1,1,Connecticut,CT,1900,454126,454294,254321,602084,50850,153,617,15226,892424,908420,76855,119094,200640
3,5,Delaware,DE,1900,90577,94158,57981,117777,8468,9,52,30697,153977,184735,13641,23835,39007
3,5,District_of_Columbia,DC,1900,146714,132004,69615,197074,11734,22,462,86702,191532,278718,12998,40753,55465
3,5,Florida,FL,1900,253296,275246,204027,307861,13941,358,121,230730,297333,528542,50930,55920,113629
3,5,Georgia,GA,1900,1113130,1103201,916862,1226736,66376,19,205,1034813,1181294,2216331,129667,291447,450712
4,8,Idaho,ID,1900,68405,93367,58917,97840,4425,4226,2758,293,154495,161772,24370,9218,35819
2,3,Illinois,IL,1900,2348768,2472782,1588685,3030932,190639,16,1583,85078,4734873,4821550,451597,547369,1024189
2,3,Indiana,IN,1900,1231058,1285404,813069,1580234,117861,243,212,57505,2458502,2516462,312283,242588,567072
2,4,Iowa,IA,1900,1075004,1156849,759613,1361103,105916,382,111,12693,2218667,2231853,282760,183053,476710
2,4,Kansas,KS,1900,701779,768716,512739,894328,60373,2130,43,52003,1416319,1470495,183286,126240,319422
3,6,Kentucky,KY,1900,1056947,1090227,809142,1254131,77127,102,57,284706,1862309,2147174,218142,204009,434228
3,7,Louisiana,LA,1900,686892,694733,560646,777550,40223,593,616,650804,729612,1381625,83575,181577,281449
1,1,Maine,ME,1900,343471,350995,189333,448369,55122,798,123,1319,692226,694466,102537,55028,161588
3,5,Maryland,MD,1900,598769,589275,393546,740421,49983,3,553,235064,952424,1188044,90702,135353,239837
1,1,Massachusetts,MA,1900,1437872,1367474,767628,1885083,143107,587,3021,31974,2769764,2805346,206127,379696,604873
2,3,Michigan,MI,1900,1172077,1248905,772334,1523962,121160,6354,249,15816,2398563,2420982,330276,198078,542358
2,4,Minnesota,MN,1900,818904,932490,637801,1042720,66771,9182,217,4959,1737036,1751394,208189,118034,337284
3,6,Mississippi,MS,1900,769819,781451,650444,852558,45029,2203,237,907630,641200,1551270,102645,194637,316114
2,4,Missouri,MO,1900,1510955,1595710,1082065,1903512,112682,130,458,161234,2944843,3106665,322244,307492,646872
4,8,Montana,MT,1900,93487,149842,71130,166109,4845,11343,4180,1523,226283,243329,28563,20556,52125
2,4,Nebraska,NE,1900,501708,564592,388288,641596,34754,3322,183,6269,1056526,1066300,120705,90711,217990
4,8,Nevada,NV,1900,16732,25603,10764,28853,2268,5216,1580,134,35405,42335,6511,3134,10472
1,1,New_Hampshire,NH,1900,206209,205379,106592,271524,32344,22,113,662,410791,411588,50593,42840,96534
1,2,New_Jersey,NJ,1900,941909,941760,577518,1222755,79617,63,1445,69844,1812317,1883669,136055,259848,408993
4,8,New_Mexico,NM,1900,91082,104228,75877,112857,5846,13144,349,1610,180207,195310,29223,13118,45510
1,2,New_York,NY,1900,3654114,3614780,2111000,4798984,347905,5257,7524,99232,7156881,7268894,521537,1043800,1608170
3,5,North_Carolina,NC,1900,955133,938677,782401,1040395,66148,5687,51,624469,1263603,1893810,165222,188162,367565
2,4,North_Dakota,ND,1900,141653,177493,125492,185556,7357,6968,180,286,311712,319146,49163,11863,63360
2,3,Ohio,OH,1900,2054890,2102655,1282471,2658540,209563,42,398,96901,4060204,4157545,481592,431301,934674
3,7,Oklahoma,OK,1900,367080,423311,326180,444587,15379,64445,58,55684,670204,790391,84293,70903,161946
4,9,Oregon,OR,1900,180551,232985,126135,269994,16475,4951,12898,1105,394582,413536,50174,33745,87545
1,2,Pennsylvania,PA,1900,3097574,3204541,2040977,3987374,261817,1639,1967,156845,6141664,6302115,523843,742385,1303174
1,1,Rhode_Island,RI,1900,218040,210516,120471,287373,19798,35,379,9092,419050,428556,26009,64362,92735
3,5,South_Carolina,SC,1900,675421,664895,572277,726612,39623,121,67,782321,557807,1340316,77054,174448,267859
2,4,South_Dakota,SD,1900,185406,216164,154565,233432,12836,20225,166,465,380714,401570,56785,22610,82290
3,6,Tennessee,TN,1900,999392,1021224,783441,1162962,66441,108,79,480243,1540186,2020616,179175,206077,399017
3,7,Texas,TX,1900,1469810,1578900,1267974,1694573,74037,470,849,620722,2426669,3048710,261933,299312,582055
4,8,Utah,UT,1900,135062,141687,113350,152512,10055,2623,989,672,272465,276749,36724,17012,55208
1,1,Vermont,VT,1900,168503,175138,94877,220130,27771,5,39,826,342771,343641,47751,31014,80559
3,5,Virginia,VA,1900,928287,925897,710520,1066930,72846,354,253,660722,1192855,1854184,170574,177087,360749
4,9,Washington,WA,1900,213925,304178,157899,339264,14681,10039,9246,2514,496304,518103,57204,45113,107171
